Country,Year,Access to Electricity,Control of Corruption,Ease of Doing Business,Foreign Direct Investment (FDI) Inflows,GDP Growth Rate,GDP per Capita,Getting Credit,Inflation Rate,Internet Penetration,Labor Force Participation Rate,Population Size,Regulatory Quality,Starting a Business,Tariff Rates,Urban Population,Youth Unemployment Rate
GIN,2019,42.2,-0.91443634,156,0.330286822,5.61691447,1043.899886,0,9.470010393,23.3663,53.657,12877539,-0.812190235,15,10.9,36.5,6.986
GIN,2020,44.7,-0.973217785,,1.243842868,4.920266372,1073.659339,,10.60162034,29.3934,53.15,13205153,-0.878001869,,12.23,36.875,8.265
GIN,2021,46.8,-1.020983338,,1.228015392,3.9,1189.175999,,12.59728826,31.311,53.111,13531906,-0.980414152,,12.26,37.264,7.845
GMB,2015,54.7,-0.813720584,,5.222556473,4.058073804,611.6712191,0,6.808454946,17.6,61.427,2253133,-0.580959022,25,,59.228,11.054
GMB,2016,56.4,-0.850637615,,4.703702368,1.943359655,640.6762653,0,7.228792721,19.9,61.615,2317206,-0.581205726,25,,59.918,9.857
GMB,2017,56.2,-0.657835662,,4.275241643,4.822611249,632.0010242,0,8.034189745,22.5,61.806,2381182,-0.511482894,25,,60.599,8.459
GMB,2018,60.3,-0.50205189,,4.896535018,7.234890333,683.3246328,0,6.520968239,28.3,62.001,2444916,-0.673881352,25,18.08,61.27,7.177
GMB,2019,62.1,-0.40711537,155,3.919437912,6.22205316,722.8753563,0,7.115676256,35.6,61.944,2508883,-0.717234313,8,,61.931,7.776
GMB,2020,62.2,-0.424807698,,10.46127557,0.591487288,704.0304628,,5.931276366,44.8133,61.337,2573995,-0.759016037,,17.82,62.582,9.897
GMB,2021,63.7,-0.380903304,,12.50262012,5.255968794,762.9632317,,7.370347589,49.6646,61.629,2639916,-0.88969934,,17.69,63.222,10.181
GNB,2015,20.1,-1.509872556,,1.61191901,6.134089355,644.1790639,0,1.476720489,6.1,56.758,1788919,-1.234598279,8.5,,42.123,4.062
GNB,2016,22.9,-1.586539984,,1.927482726,5.306596331,678.6802795,0,1.503120559,13.8,56.747,1834552,-1.245133281,8.5,,42.533,4.039
GNB,2017,26,-1.596066117,,1.067443967,4.788991621,781.9758883,0,1.691114618,14.8,56.723,1879826,-1.217776179,8.5,15.5,42.945,4.001
GNB,2018,28.4,-1.559087157,,1.323169276,3.761453595,807.3610001,0,0.381324703,15.7,56.672,1924955,-1.243483424,8.5,14.39,43.36,4.046
GNB,2019,30.9,-1.49801743,174,4.820706979,4.500092937,754.3816394,0,0.246600268,22.9201,56.619,1970457,-1.271798849,8.5,11.28,43.777,4.066
GNB,2020,33.4,-1.363286018,,1.380466815,1.5,754.270694,,1.140009394,28.1686,56.084,2015828,-1.286226392,,11.65,44.196,4.613
GNB,2021,35.8,-1.320214152,,1.074463646,6.399952624,836.8700248,,2.242488796,28.5397,56.498,2060721,-1.275529623,,11.82,44.617,4.466
LBR,2015,15.2,-0.667323768,,7.210237816,-0.01856497,699.6629469,0,7.748696876,10,78.087,4612329,-0.904000461,6,,49.82,1.921
LBR,2016,17.7,-0.743276775,,9.171903326,-1.554958617,722.1312268,0,8.834248683,15.7,77.982,4706097,-0.976915777,6,,50.254,2.304
LBR,2017,24.2,-0.687090397,,7.309485784,2.45515592,706.892692,0,12.41963239,16.3,77.886,4796631,-0.980787039,6,,50.697,2.299
LBR,2018,22.8,-0.87186873,,3.772684939,1.157575122,700.0370394,0,23.5635149,18.9,77.776,4889391,-0.989606023,18,9.54,51.151,2.296
LBR,2019,23.1,-0.917654991,175,2.611211949,-2.467297635,665.8784476,0,,23.4826,77.644,4985289,-1.008153439,18,,51.615,2.301
LBR,2020,27.6,-0.904334426,,23.23484231,-2.982491276,624.28971,,,27.4519,76.876,5087584,-1.038943887,,6.6,52.089,2.836
LBR,2021,29.8,-0.937883019,,15.24552679,4.986712835,676.442927,,,27.8136,77.234,5193416,-0.963078558,,6.64,52.573,2.774
MLI,2015,37.6,-0.704493344,,2.102483708,6.171800024,723.5042049,0,1.450690576,10.33,72.477,18112907,-0.633086145,8.5,6.22,39.991,2.169
MLI,2016,38.8,-0.677658141,,2.541532607,5.852299199,750.0518091,0,-1.799647071,14,71.77,18700106,-0.639129579,8.5,6.22,40.783,2.135
MLI,2017,34.8,-0.665663719,,3.64934229,5.305456084,795.6828016,0,1.759857429,18.9,71.049,19311355,-0.616693497,11,10.04,41.572,2.231
MLI,2018,50.9,-0.711823046,,2.737385131,4.746484327,856.3565966,0,0.299546507,21.4,70.02,19934298,-0.600795805,11,9.42,42.356,2.335
MLI,2019,47.9,-0.704530776,148,4.971522454,4.756160808,840.1757464,0,-1.658266948,22.3111,68.975,20567424,-0.623046398,11,7.23,43.136,4.182
MLI,2020,50.6,-0.800912976,,3.073803264,-1.235450447,822.9061368,,0.43808894,28.3043,67.341,21224040,-0.673809767,,9.24,43.909,6.728
MLI,2021,53.4,-0.887136936,,3.314147828,3.052613569,881.5100887,,3.925602831,30.4642,67.387,21904983,-0.634793401,,7.88,44.677,3.672
MRT,2015,39.5,-0.939602792,,8.135849504,5.376339237,1562.726836,2,3.254726881,17.6,43.187,3946220,-0.912680149,8,8.67,51.089,18.508
MRT,2016,41.2,-0.762259603,,4.237311147,1.260909217,1579.200717,3,1.471710457,24.1,42.696,4051890,-0.788824499,8,,51.962,19.822
MRT,2017,42.9,-0.77320534,,8.650079992,6.270545679,1634.642158,3,2.254276519,24.2,42.21,4160015,-0.819411278,6,,52.824,20.967
MRT,2018,43.6,-0.812440693,,10.34167728,4.772173673,1749.954236,4,3.067359961,35.1,42.128,4270712,-0.865196943,6,8.03,53.672,22.265
MRT,2019,44.9,-0.866159081,152,-11.19173438,3.14100487,1800.875187,6,2.300092621,42.3207,42.057,4383849,-0.82778126,6,8.03,54.507,23.412
MRT,2020,45.4,-0.815433323,,11.23282992,-0.360657379,1836.292411,,2.385694885,41.0726,41.637,4498604,-0.894477546,,12.19,55.327,25.266
MRT,2021,47.7,-0.84248513,,11.60475278,0.7427155,1998.394003,,3.565164847,43.7936,41.416,4614974,-1.077205062,,8.32,56.133,24.65
NER,2015,16.6,-0.674528837,,5.467617641,4.392648832,481.1113011,0,-0.57609037,2.47622,74.547,20128124,-0.78047353,16,8.07,16.247,0.723
NER,2016,17,-0.666049778,,2.897744783,5.740893151,497.0361208,0,1.653889224,4.32276,74.555,20921743,-0.720742762,11,8.21,16.29,0.754
NER,2017,17.6,-0.687655807,,3.028230247,5.005360786,514.543398,0,2.796373189,10.2243,74.546,21737922,-0.725769043,8,11.92,16.35,0.791
NER,2018,17.6,-0.592982829,,3.630373995,7.211418028,568.5996597,0,2.96760366,,74.535,22577058,-0.682929277,10,11.02,16.425,0.812
NER,2019,18.5,-0.567891419,132,5.563788728,5.939852571,549.8161278,8,-2.489792651,16.6119,74.511,23443393,-0.724168777,10,9.27,16.517,0.842
NER,2020,18.7,-0.66267544,,2.623955453,3.550641094,564.8416623,,2.89819376,13.8406,73.8,24333639,-0.798238993,,8.06,16.626,0.944
NER,2021,18.6,-0.58069849,,3.98812628,1.383596362,590.6294948,,3.837868028,15.3108,73.601,25252722,-0.760396123,,8.46,16.751,1.084
NGA,2015,52.5,-1.096086144,,0.621501637,2.652693295,2679.554223,6,9.00943498,22.5,59.529,183995785,-0.887996912,30.3,8.22,47.838,10.638
NGA,2016,59.3,-1.045318961,,0.853395743,-1.616868949,2144.780344,6,15.69681264,24.1,59.399,188666931,-0.942333639,24.9,8.52,48.683,11.308
NGA,2017,54.4,-1.099155903,,0.642182922,0.805886619,1941.879479,8,16.50226621,25.9,59.267,193495907,-0.917148352,18.9,,49.519,11.899
NGA,2018,56.5,-1.083862424,,0.183821496,1.922757342,2125.834491,8,12.09510652,27.7,59.136,198387623,-0.878198743,10.9,,50.344,12.328
NGA,2019,55.4,-1.113170505,131,0.485777628,2.208429277,2334.023642,8,11.39642234,29.7,59.005,203304492,-0.940476418,7.2,,51.157,12.588
NGA,2020,55.4,-1.118567109,,0.551893509,-1.794253083,2074.613748,,13.24602343,31.8888,58.437,208327405,-1.024434328,,12.37,51.958,12.545
NGA,2021,59.5,-1.10122788,,0.75156918,3.647186541,2065.77441,,16.95284572,32.3318,58.699,213401323,-0.944378197,,12.2,52.746,10.002
SEN,2015,60.5,0.031306829,,2.301949347,6.367043651,1238.1264,0,0.135211934,21.7,46.882,14356181,-0.224439725,6,8.62,45.862,8.041
SEN,2016,64.5,-0.024278427,,2.481103207,6.356068572,1290.749971,0,0.837284943,25.6648,51.524,14751356,-0.210808367,6,8.75,46.296,6.368
SEN,2017,61.7,-0.114319831,,2.801853806,7.407486186,1385.199214,0,1.318153148,29.6431,47.122,15157793,-0.195707217,6,12.3,46.74,5.834
SEN,2018,66,-0.047376096,,3.66765809,6.209241034,1484.22707,0,0.460985642,35.3,50.344,15574909,-0.147642568,6,11.52,47.192,5.957
SEN,2019,70.4,-0.003571971,123,4.552476186,4.613628097,1462.678353,7,1.760111512,43.4,52.006,16000781,-0.175264254,6,9.12,47.653,4.047
SEN,2020,64.3,-0.007295328,,7.523957081,1.342073773,1492.475903,,2.543146857,53.3088,51.506,16436120,-0.294217169,,9.07,48.122,4.765
SEN,2021,68,0.042310625,,9.404261902,6.544001099,1630.695072,,2.180322781,54.9741,52.047,16876720,-0.322730869,,8.88,48.6,4.637
SLE,2015,19.7,-0.820486605,,5.936831767,-20.49107411,581.2934118,0,6.689435625,6.34442,57.134,7314773,-0.928697109,10,,40.829,8.328
SLE,2016,20.3,-0.841478765,,3.585800262,6.346727852,515.4478396,0,10.88606094,11.7732,56.415,7493913,-0.948930025,8,,41.228,6.876
SLE,2017,23.4,-0.590301275,,11.12328995,3.753803214,484.4561288,0,18.2215094,13.2369,55.691,7677565,-0.949866354,8,,41.636,5.28
SLE,2018,26.1,-0.511718929,,6.130698673,3.47290262,519.6499639,0,16.02954477,15.8,54.963,7861281,-0.918371916,8,,42.055,3.574
SLE,2019,22.7,-0.470781624,163,8.399200047,5.253746313,506.6069138,0,14.80499909,20.8,54.867,8046828,-0.916900396,8,,42.484,3.583
SLE,2020,26.3,-0.396055698,,4.25063162,-1.968486891,493.4322406,,13.44687111,27.4681,54.341,8233970,-0.90462321,,14.05,42.923,3.993
SLE,2021,27.5,-0.455585212,,4.995939447,4.104700089,504.6212876,,11.87395888,27.595,54.27,8420641,-0.98027122,,14.22,43.372,3.844
TGO,2015,44.7,-0.754961371,,4.480267261,5.468031293,770.1438074,0,2.585003908,7.12,59.093,7473229,-0.863928974,10,9.73,40.1,4.295
TGO,2016,46.8,-0.708207965,,-0.762757826,4.214895609,792.4409914,0,1.285448471,11.31,59.033,7661354,-0.834297657,6,9.48,40.628,6.783
TGO,2017,48,-0.735369742,,1.386454384,4.008133262,813.3947872,0,-0.981889869,12.3602,58.956,7852795,-0.83218658,6,13.43,41.162,9.258
TGO,2018,50,-0.749250174,,-2.574548034,4.79506027,873.565403,0,0.927755426,15.5,58.868,8046679,-0.70613569,5.5,12.85,41.702,6.323
TGO,2019,52.5,-0.746111989,97,4.943691878,4.922925917,848.310125,8,0.67465277,20.7273,58.772,8243094,-0.744945109,2.5,10.98,42.248,3.275
TGO,2020,54.1,-0.730152428,,-0.800061439,1.992155019,876.5429724,,1.699284633,29.0237,58.222,8442580,-0.664301932,,10.98,42.8,3.628
TGO,2021,55.7,-0.690799415,,-1.632912029,5.990876104,964.99811,,4.186215065,32.5051,58.538,8644829,-0.646790862,,10.73,43.358,3.543
